terminalDumping,n,dps_mean,dps_stdev,gcd_mean,count_ApexArrow,count_ArmysPaeon,count_Barrage,count_BattleVoice,count_BlastArrow,count_BurstShot,count_CausticBite,count_EmpyrealArrow,count_HeartbreakShot,count_IronJaws,count_MagesBallad,count_PitchPerfect,count_RadiantEncore,count_RadiantFinale,count_RagingStrikes,count_RefulgentArrow,count_ResonantArrow,count_Sidewinder,count_Stormbite,count_WanderersMinuet
True,150,33793.647180,532.953168,214.900000,9.706667,4.000000,4.993333,5.000000,8.053333,122.340000,2.320000,30.000000,63.120000,9.680000,4.000000,25.846667,5.000000,5.000000,5.000000,50.486667,4.993333,5.000000,2.320000,5.000000
False,150,33908.942105,546.086492,214.900000,8.266667,4.000000,4.993333,5.000000,8.253333,123.266667,2.320000,30.000000,63.140000,9.680000,4.000000,21.933333,5.000000,5.000000,5.000000,50.800000,4.993333,5.000000,2.320000,5.000000
