dotRefreshSeconds,snapshotIronJaws,n,dps_mean,dps_stdev,gcd_mean,count_ApexArrow,count_ArmysPaeon,count_Barrage,count_BattleVoice,count_BlastArrow,count_BurstShot,count_CausticBite,count_EmpyrealArrow,count_HeartbreakShot,count_IronJaws,count_MagesBallad,count_PitchPerfect,count_RadiantEncore,count_RadiantFinale,count_RagingStrikes,count_RefulgentArrow,count_ResonantArrow,count_Sidewinder,count_Stormbite,count_WanderersMinuet
3,True,150,34171.365581,550.808750,214.880000,8.253333,4.000000,5.000000,5.000000,8.200000,122.400000,2.320000,29.993333,62.566667,10.680000,4.000000,22.300000,5.000000,5.000000,5.000000,50.706667,5.000000,5.000000,2.320000,5.000000
3,False,150,34172.011315,584.467367,214.880000,8.253333,4.000000,5.000000,5.000000,8.206667,123.240000,2.373333,29.993333,62.580000,9.626667,4.000000,22.300000,5.000000,5.000000,5.000000,50.806667,5.000000,5.000000,2.373333,5.000000
5,True,150,34173.965540,566.536996,214.880000,8.253333,4.000000,5.000000,5.000000,8.200000,122.540000,2.180000,29.993333,62.526667,10.813333,4.000000,22.286667,5.000000,5.000000,5.000000,50.706667,5.000000,5.000000,2.186667,5.000000
5,False,150,34189.915956,564.463044,214.880000,8.253333,4.000000,5.000000,5.000000,8.200000,123.180000,2.246667,29.993333,62.533333,10.166667,4.000000,22.293333,5.000000,5.000000,5.000000,50.580000,5.000000,5.000000,2.253333,5.000000
6,True,150,34115.137527,570.589326,214.873333,8.253333,4.000000,5.000000,5.000000,8.206667,122.813333,1.153333,29.993333,62.526667,12.400000,4.000000,22.273333,5.000000,5.000000,5.000000,50.880000,5.000000,5.000000,1.166667,5.000000
6,False,150,34145.559005,589.628872,214.873333,8.253333,4.000000,5.000000,5.000000,8.206667,123.253333,1.246667,29.993333,62.506667,11.753333,4.000000,22.273333,5.000000,5.000000,5.000000,50.913333,5.000000,5.000000,1.246667,5.000000
7,True,150,34144.986550,565.147988,214.873333,8.246667,4.000000,5.000000,5.000000,8.200000,122.313333,1.160000,30.000000,62.493333,12.840000,4.000000,22.253333,5.000000,5.000000,5.000000,50.953333,5.000000,5.000000,1.160000,5.000000
7,False,150,34091.619913,569.821322,214.873333,8.246667,4.000000,5.000000,5.000000,8.200000,123.266667,1.080000,29.986667,62.473333,11.920000,4.000000,22.246667,5.000000,5.000000,5.000000,51.080000,5.000000,5.000000,1.080000,5.000000
