seconds,n,dps_mean,dps_stdev,gcd_mean,count_ApexArrow,count_ArmysPaeon,count_Barrage,count_BattleVoice,count_BlastArrow,count_BurstShot,count_CausticBite,count_EmpyrealArrow,count_HeartbreakShot,count_IronJaws,count_MagesBallad,count_PitchPerfect,count_RadiantEncore,count_RadiantFinale,count_RagingStrikes,count_RefulgentArrow,count_ResonantArrow,count_Sidewinder,count_Stormbite,count_WanderersMinuet
494,120,33450.504167,602.268446,208.058333,8.058333,4.000000,4.366667,5.000000,8.041667,120.166667,2.283333,29.000000,59.450000,9.716667,4.000000,20.575000,4.825000,5.000000,5.000000,48.508333,4.175000,4.800000,2.283333,5.000000
507,120,34054.345801,574.234679,213.725000,8.183333,4.000000,4.991667,5.000000,8.166667,121.966667,2.283333,29.433333,62.133333,10.658333,4.000000,21.800000,5.000000,5.000000,5.000000,50.191667,4.991667,5.000000,2.283333,5.000000
527,120,34066.701463,560.780675,221.725000,8.500000,4.000000,5.000000,5.000000,8.433333,127.383333,2.283333,31.000000,64.091667,10.716667,4.000000,24.125000,5.000000,5.000000,5.000000,52.125000,5.000000,5.000000,2.283333,5.000000
552,120,33818.230146,506.432754,231.725000,9.058333,4.000000,5.000000,5.000000,8.950000,133.108333,2.325000,32.400000,68.316667,11.591667,5.000000,25.200000,5.000000,5.000000,5.000000,54.283333,5.000000,5.000000,2.408333,5.000000
