resourcePooling,n,dps_mean,dps_stdev,gcd_mean,count_ApexArrow,count_ArmysPaeon,count_Barrage,count_BattleVoice,count_BlastArrow,count_BurstShot,count_CausticBite,count_EmpyrealArrow,count_HeartbreakShot,count_IronJaws,count_MagesBallad,count_PitchPerfect,count_RadiantEncore,count_RadiantFinale,count_RagingStrikes,count_RefulgentArrow,count_ResonantArrow,count_Sidewinder,count_Stormbite,count_WanderersMinuet
True,150,33793.647180,532.953168,214.900000,9.706667,4.000000,4.993333,5.000000,8.053333,122.340000,2.320000,30.000000,63.120000,9.680000,4.000000,25.846667,5.000000,5.000000,5.000000,50.486667,4.993333,5.000000,2.320000,5.000000
False,150,34047.320848,639.042136,214.793333,10.166667,3.980000,4.993333,5.000000,8.406667,121.686667,2.300000,33.626667,63.846667,9.700000,3.980000,25.853333,5.000000,5.000000,5.000000,50.240000,4.993333,5.000000,2.300000,5.000000
